ID,Movie_name,Overview,Genres,Release Date,Collection_name,backdrop_path,poster_path
10494,パーフェクトブルー,A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.,Animation,7/25/1997,,/1YRtgjLb5xxUb2rsNRnr54Oc0B2.jpg,/79vujbsWEbX4dzffBV541QXN6sf.jpg
10495,The Karate Kid Part III,"Despondent over the closing of his karate school, Cobra Kai teacher John Kreese joins a ruthless businessman and martial artist to get revenge on Daniel and Mr. Miyagi.",Action,6/29/1989,The Karate Kid Collection,/c6VzS9jvifHrUajSP4RYiGINydo.jpg,/5qVjJGzPokkK7OYA65hYb1fGsJQ.jpg
10496,Bats,Genetically mutated bats escape and it's up to a bat expert and the local sheriff to stop them.,Horror,10/22/1999,Bats Collection,/hchZiGTq5fUBYzqhsIGvarLsVCf.jpg,/pZRcf2BwcxWg594X6XT2jkR2qdb.jpg
10497,Bitter Moon,A passenger on a cruise ship develops an irresistible infatuation with an eccentric paraplegic's wife.,Thriller,9/2/1992,,/nTWRp59HVrlkz7tpqcbQd4ezPY4.jpg,/qU9hqUSGyQfbkEdqluX21nWVcp9.jpg
10498,Point of No Return,"Hardened criminal Maggie Hayward's consistent violence, even in police custody, ends in the execution chamber. However, top-secret US government agent 'Bob' arranges a staged death, so Maggie can be elaborately trained as a phantom killer and subdued into obedience.",Crime,3/19/1993,,/5CPCYlfKswkcrXaIApwpYsjAtPP.jpg,/ixWqZZMkTbLbcbCn9mJgSlCjQcg.jpg
10499,Die Stille nach dem Schuss,"Rita Vogt is a radical West German terrorist who abandons the revolution and settles in East Germany with a new identity provided by the East German secret service. She lives in constant fear of having her cover blown, which unavoidably happens after the German re-unification.",Drama,9/14/2000,,,/xcYubjOGTiBGBewAt4lkFj61eS.jpg
10500,Die Unberührbare,"Flanders, a famous female author, travels 1989 after the fall of the Berlin wall into the German capitol. She is deeply depressed of the events because she saw the communistic states as a very good thing that has now ended. In the joy of these days she finds no person to understand her, so she has to travel back to Munich. After meeting several people, known and unknown, it seems as if there will be no way to go.",Drama,4/20/2000,,/1qdgp0HvCvWFq8zBsVreAqeusUt.jpg,/xc3oyuv8b2yK4dmtYbqHGZaDDAE.jpg
10501,The Road to El Dorado,"After a failed swindle, two con-men end up with a map to El Dorado, the fabled ""city of gold,"" and an unintended trip to the New World.  Much to their surprise, the map does lead the pair to the mythical city, where the startled inhabitants promptly begin to worship them as gods.  The only question is, do they take the worshipful natives for all they're worth, or is there a bit more to El Dorado than riches?",Family,3/31/2000,,/vHWoapGhI3thn3TyBu4qtH8W15f.jpg,/ryXm7xp4aqQyda0FU2eMfHehPBg.jpg
10502,The Man Without a Face,"Justin McLeod is a former teacher who lives as a recluse on the edge of town after his face is disfigured from an automobile accident ten years earlier, in which a boy was incinerated—and for which he was convicted of involuntary manslaughter.",Drama,8/25/1993,,/jpC7J2s1qtBQ2wBwD73d4GgmUs6.jpg,/9dmH2jc6jwlZo90JQTFOx4XaBWt.jpg
10503,Happy-Go-Lucky,"A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her.",Drama,4/18/2008,,/zKsNkKOkgtr0vG8OTBkqtcUhUqp.jpg,/9FdD4YClMPZponkvHuQOgEOaWcF.jpg
10505,Lauf um Dein Leben - Vom Junkie zum Ironman,He lived the junkie's life as a heroin addict. Triathlon transformed him. Biopic of the record breaking Ironman Andreas Niedrig.,Drama,4/24/2008,,/iuT3GuWJKx7eh3zSW1sotwglKnS.jpg,/M7nCUXO0ktZSggHcB1blaiuezc.jpg
10506,Maria Bethânia: Música é Perfume,Brazilian singer Maria Bethania has a 40-year singing career. A documentary shows her concerts and famous family.,Documentary,8/24/2005,,,/802eeEF73rKJwEXlbWthQt5f6l.jpg
10507,"Kehraus, wieder","„I began documenting their lives, if only because I hoped each film would have a happy ending.“ (Gerd Kroske)",Documentary,11/3/2006,,,/djSlObdMgGlEFYN7WludWJitBm1.jpg
10509,Buitenspel,"12-year-old Gilles dreams of becoming a professional footballer in the Belgian national squad, playing as a Red Devil at the King Baudouin Stadium. Father Bert supports Gilles through thick and thin: he is not only Gilles' most loyal supporter, but also his personal trainer. But then, completely unexpectedly, Bert dies and Gilles' life collapses. Not only does he lose his father, his friend, his supporter and his trainer, there are also quite a few financial concerns coming out ...",Drama,12/21/2005,,/usJL1KNdhncLHBFODXOZngvOut3.jpg,/5DyjmUR5Pebo9A60eFER2L1BIab.jpg
10510,Miracle on 34th Street,"Six-year-old Susan Walker has doubts about childhood's most enduring miracle—Santa Claus. Her mother told her the secret about Santa a long time ago, but, after meeting a special department store Santa who's convinced he's the real thing, Susan is given the most precious gift of all—something to believe in.",Fantasy,11/18/1994,,/ijOeh1sulK7PwfELk0lhUfUooh9.jpg,/sWjL1zD0XjQrOTP9jLiAbzvBKEW.jpg
10511,In America,"An Irish immigrant family adjusts to life in the United States, a chance to get over the lost son. They have no money and the apartment is in bad condition.",Drama,10/31/2003,,/wj7H0pTsVweqtRKLJyaUnl9hvqN.jpg,/cUhMjWQyyApA0pFinogCsE2wy8g.jpg
10513,Plan 9 from Outer Space,"In California, an old man grieves the loss of his wife and on the next day he also dies. However, the space soldier Eros and her mate Tanna use an electric device to resurrect them both and the strong Inspector Clay that was murdered by the couple. Their intention is not to conquest Earth but to stop mankind from developing the powerful bomb “Solobonite” that would threaten the universe. When the population of Hollywood and Washington DC sees flying saucers on the sky, a colonel, a police lieutenant, a commercial pilot, his wife and a policeman try to stop the aliens.",Horror,7/22/1959,,/9pHCAT1ScILdkhY8ErfOma8W4kB.jpg,/bmicZi7PvlnZ9rZqp6QXN2Db0pT.jpg
10514,The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",Science Fiction,3/12/1971,,/dIpTDBXRHmznQ8yZufOo5rucGT9.jpg,/i3rTxQRJaBJoBcY8VMUOPT2E8Hp.jpg
10515,天空の城ラピュタ,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Adventure,8/2/1986,,/3cyjYtLWCBE1uvWINHFsFnE8LUK.jpg,/npOnzAbLh6VOIu3naU5QaEcTepo.jpg
10516,Le Gendarme et les Extra-terrestres,"The bungling inspector Cruchot (Funès) finds himself trying to save the residents of St. Tropez from some oil-drinking humanoid aliens. The only way to tell the aliens from the real people, besides their constant thirst for oil-products, is that they sound like empty garbage cans when you touch them. Chaos is ahead.",Comedy,1/31/1979,The Troops Collection,/7INzL184hcCb6JveA65BOClUGc.jpg,/46u8mcHXCWtbtqITMsB9nTSpdSH.jpg
10518,Marathon Man,"A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division.",Thriller,10/8/1976,,/auXYT9zJZxBZIggBCC2eLIqQDIA.jpg,/uPNgubSiri2yvBQRPtP77ViYjN.jpg
10519,Das fliegende Klassenzimmer,"A boy who was once a perpetual outcast finds friends in a new boarding school, united with his new peers gets involved in a heated rivalry with a group of students from a neighboring school.",Comedy,1/16/2003,,/lMancq0xdjUyXtpUtzS4G3AW9mF.jpg,/6tICXe41oTKPHn3tA8KrMgOz8Gj.jpg
10520,Itty Bitty Titty Committee,"High School grad and all American gal, Anna, finds her purpose and herself after she hooks up with the radical feminists in The Itty Bitty Titty Committee.",Comedy,2/9/2007,,/fgXKnK4XwQTkh701Ing3YKEZyGb.jpg,/38oFHqdlf0zpTSpkrEyOwCbqVrx.jpg
10521,Bride Wars,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,Comedy,1/9/2009,,/lpLUgAN76ujuvMuR8T5DVcS5Avc.jpg,/eyXT8tmUoyHrg7YX1UVjmecHCWP.jpg
10523,W.,"The story of the eventful life of George W. Bush—his struggles and triumphs, how he found both his wife and his faith—and the critical days leading up to his decision to invade Iraq.",Drama,10/17/2008,,/9Di6BvfSuN0tUBi7PIK4Iz9phxk.jpg,/nJm8UF4zbUYEoku9seEtz1PTJGS.jpg
10524,La Disparue de Deauville,"An inspector who just suffered a family tragedy is looking for a missing older man. Man's family is of no help, or are they hiding something? He is helped by a ghost of an actress who died 30 years ago, or is he slowly going insane?",Thriller,5/23/2007,,,/j3Do5U5POratMfWQhNDUHPVWT88.jpg
10525,Forget Paris,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches.",Comedy,5/19/1995,,/9fxljwrE3gYiFaSNNXnubMa1fvb.jpg,/c2RwGHqWwvh7nmRKpdIyYUWMEvP.jpg
10526,Cancer Vixen: A True Story,"Shortly after its release, the book was optioned by Working Title Films in conjunction with Cate Blanchett. In March 2013, it was announced that HBO Films is set to produce a film adaptation of the book starring Blanchett. HBO Films is closing a deal with Julie Delpy to adapt the Marisa Acocella Marchetto memoir Cancer Vixen: A True Story as a star vehicle for Cate Blanchett. Blanchett is an executive producer on the project alongside Maven Pictures partners Trudie Styler and Celine Rattray. (Aug 2013)",Drama,12/31/2015,,,
10527,Madagascar: Escape 2 Africa,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",Family,10/30/2008,Madagascar Collection,/8xcm94SLAxvNmJYuGh42ziydu70.jpg,/agRbLOHgN46TQO4YdKR462iR7To.jpg
10528,Sherlock Holmes,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",Action,12/23/2009,Sherlock Holmes Collection,/veXdzn7LL0bFIDGmE7tTkvRg0qV.jpg,/momkKuWburNTqKBF6ez7rvhYVhE.jpg
10529,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",Fantasy,4/24/2008,,/3b973tk8kA9tiY85ppxPxpXIrP3.jpg,/4vIc5fznKsQjE4d0H3H4Zy5bn9o.jpg
10530,Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",Adventure,6/14/1995,Pocahontas Collection,/9YAVIwBcBrLXeukg2dgMGfYB1uu.jpg,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
10531,Death and the Maiden,A political activist is convinced that her guest is a man who once tortured her for the government.,Drama,5/4/1994,,/buQbUKiV7fn0vX1mwH6D0Uvvv2t.jpg,/tt9svTxy7I9NFFVtm8cwEWYzuc8.jpg
10532,Abbuzze! Der Badesalz-Film,No overview found.,Comedy,1/17/1996,,/ahFosZTqwlUKIXxxlb2WHGJMQ2m.jpg,/7xTcp6WJYMN8UlA6bXc87R3QGae.jpg
10533,The Scarlet Letter,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.",Drama,10/13/1995,,/t8zBZRgCFeA8jdt6sxAHlT0wqg.jpg,/8gIU7O3oV6NyWUjlL6ppbpnIZLW.jpg
10534,White Squall,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",Action,2/2/1996,,/pgBHDE78HPVmiPb6hlL80ymzLDO.jpg,/rNWFsKrTGRCTKsT9dGx9vwWP8tA.jpg
10535,Spy Hard,"The evil Gen. Rancor has his sights set on world domination, and only one man can stop him: Dick Steele, also known as Agent WD-40. Rancor needs to obtain a computer circuit for the missile that he is planning to fire, so Steele teams up with Veronique Ukrinsky, a KGB agent whose father designed the chip. Together they try to locate the evil mastermind's headquarters, where Veronique's father and several other hostages are being held.",Action,5/24/1996,,/mA0ckl9mBOq90eedfHLDptf5ZUd.jpg,/r1IMiz5qW22cohF6luPK4rM1DWf.jpg
10536,The Italian Job,"Charlie's got a 'job' to do. Having just left prison he finds one his of friends has attempted a high risk job in Torino, Italy, right under the nose of the mafia. Charlie's friend doesn't get very far, so Charlie takes over the 'job'. Using three Mini Coopers, a couple of Jaguars and a bus, he hopes to bring Torino to a standstill, steal a fortune in gold and escape in the chaos.",Action,6/2/1969,,/i82tCecM6ywNPkrS2bPLa497t7D.jpg,/8NOw3HPHkcBndJW2K6ofbcSb7WD.jpg
10537,The Doors,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",Music,3/1/1991,,/dZjxrjuE4GPmo4iOAyfxZVumEDx.jpg,/14Jw0oYnpRoJ2BPoJwje3wrNOwp.jpg
